,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc
246,uc022asi.1,Untranslated,1,0,0
247,uc010ksh.1,Translated,1,0,0
248,uc010ugn.1,Translated,1,0,0
249,uc001qzf.2,Translated,2,1,0
250,uc003hzh.2,Translated,1,0,0
251,uc004chz.3,Translated,1,0,0
252,uc003iqj.3,Translated,1,0,0
253,uc003vcv.4,Translated,1,0,0
254,uc001kmo.3,Translated,1,0,0
255,uc002fmy.2,Translated,4,1,0
256,uc003hzd.4,Untranslated,1,0,0
257,uc003pdm.2,Translated,1,1,0
258,uc003slg.1,Translated,1,0,0
259,uc003ysa.2,Untranslated,5,11,0
260,uc004csr.3,Translated,1,0,0
261,uc003nim.2,Untranslated,1,0,0
262,uc003jhi.2,Translated,1,0,0
263,uc001iyv.4,Translated,1,0,0
264,uc011bbf.1,Translated,1,0,0
265,uc002aea.3,Translated,1,0,0
266,uc010bxf.3,Untranslated,1,1,0
267,uc001kmq.3,Translated,1,0,0
268,uc011bbd.1,Translated,1,0,0
269,uc001hgl.3,Translated,1,0,0
270,uc003esa.2,Translated,1,0,0
271,uc002isp.2,Untranslated,1,1,0
272,uc002kcn.3,Translated,1,0,0
273,uc003sli.1,Translated,1,0,0
274,uc003esc.2,Translated,1,0,0
275,uc010iqw.1,Translated,1,0,0
276,uc031qgg.1,Translated,2,1,0
277,uc010kyl.4,Translated,1,0,0
278,uc003hzf.4,Translated,1,0,0
279,uc009ysh.3,Translated,1,0,0
280,uc004eaa.2,Translated,2,0,0
281,uc002fnh.1,Untranslated,1,0,0
282,uc021vex.1,Untranslated,1,0,0
283,uc031sik.1,Translated,1,0,0
284,uc001hgj.3,Translated,1,0,0
285,uc004eab.2,Translated,2,0,0
286,uc009xce.3,Translated,2,2,0
287,uc003umx.1,Untranslated,2,0,0
288,uc021tel.1,Untranslated,2,1,0
289,uc001hgh.3,Translated,1,0,0
290,uc003pdk.2,Translated,1,1,0
291,uc003dhu.3,Translated,1,0,0
292,uc009yrk.3,Translated,2,2,0
293,uc009zat.3,Translated,1,0,0
294,uc011cna.1,Translated,2,0,0
295,uc002ikc.3,Translated,2,2,0
296,uc010bon.3,Translated,1,2,0
297,uc011egl.1,Translated,17,22,0
298,uc002hno.3,Translated,1,0,0
299,uc002iuz.1,Translated,1,0,0
300,uc011bmg.2,Translated,1,0,0
301,uc001reh.2,Translated,10,19,2
302,uc009xmb.3,Translated,1,0,0
303,uc002rnk.1,Translated,1,0,0
304,uc010roh.3,Translated,24,35,1
305,uc002isr.3,Translated,1,1,0
306,uc002lal.1,Untranslated,1,0,0
307,uc021qrm.1,Translated,1,0,0
308,uc003xyl.3,Translated,2,1,1
309,uc001zev.3,Untranslated,2,1,0
310,uc001ajf.2,Translated,1,1,0
311,uc002hnq.2,Translated,1,0,0
312,uc002fnd.3,Translated,3,1,0
313,uc022bgu.1,Translated,3,4,0
314,uc011dyx.1,Untranslated,2,0,0
315,uc004coa.3,Translated,1,0,0
316,uc002xum.4,Untranslated,1,2,0
317,uc002xuo.3,Untranslated,1,2,0
318,uc003yys.3,Translated,1,1,0
319,uc021ygi.1,Translated,2,1,0
320,uc003zzs.1,Translated,3,2,0
321,uc003yyu.3,Translated,1,1,0
322,uc011kuj.2,Untranslated,1,1,0
323,uc002shy.3,Translated,1,0,0
324,uc001sbh.4,Translated,1,0,0
325,uc011kuh.2,Translated,1,1,0
326,uc003quq.5,Translated,16,21,0
327,uc003csc.3,Translated,1,0,0
328,uc010psf.2,Untranslated,2,2,0
329,uc002jfo.1,Translated,2,1,0
330,uc021qve.1,Untranslated,2,1,0
331,uc003ztq.1,Translated,1,0,0
332,uc002yeh.3,Translated,1,3,0
333,uc003wfb.2,Translated,1,1,0
334,uc011lkl.2,Translated,1,1,0
335,uc003ezn.3,Translated,1,0,0
336,uc001ebl.3,Translated,2,1,0
337,uc003ezl.3,Translated,1,0,0
338,uc031ptb.1,Translated,1,1,0
339,uc002kcm.3,Translated,1,0,0
340,uc003wfd.2,Translated,1,1,0
341,uc004eub.3,Translated,1,0,0
342,uc009xcf.3,Translated,2,2,0
343,uc001seu.3,Translated,1,0,0
344,uc001pak.2,Translated,1,1,1
345,uc003jff.3,Translated,2,2,0
346,uc010dav.3,Translated,2,2,0
347,uc011mpw.2,Translated,2,0,0
348,uc009zmp.1,Untranslated,1,0,0
349,uc004cam.1,Translated,2,1,0
350,uc002iva.3,Translated,1,0,0
351,uc001ses.3,Translated,1,0,0
352,uc002aec.3,Translated,1,0,0
353,uc010rpj.2,Translated,1,2,0
354,uc003fix.4,Translated,2,3,1
355,uc002shw.3,Translated,1,0,0
356,uc010urq.2,Translated,1,2,0
357,uc009vky.3,Translated,2,2,0
358,uc010rqc.2,Translated,1,0,0
359,uc011ecr.2,Translated,2,0,0
360,uc009xhq.3,Translated,6,4,0
361,uc002nvg.2,Translated,3,7,0
362,uc010osu.2,Translated,4,1,3
363,uc021qvg.1,Untranslated,2,1,0
364,uc004ces.3,Translated,1,0,0
365,uc010shj.2,Translated,1,0,0
366,uc031rcv.1,Translated,1,0,0
367,uc011lof.1,Translated,1,0,0
368,uc031rcn.1,Translated,1,0,0
369,uc010ymq.2,Translated,1,0,0
370,uc031rcl.1,Translated,1,0,0
371,uc003jeu.2,Translated,2,0,1
372,uc011lod.1,Translated,1,0,0
373,uc003wwt.3,Translated,3,1,0
374,uc003guq.4,Translated,1,0,0
375,uc003pel.3,Translated,1,0,4
376,uc021sht.1,Untranslated,2,1,0
377,uc003gus.4,Translated,1,0,0
378,uc010snv.2,Translated,1,0,0
379,uc001iij.3,Translated,1,0,0
380,uc010wnm.1,Translated,1,0,0
381,uc002kkg.1,Translated,1,0,0
382,uc031rcr.1,Translated,1,0,0
383,uc002nau.4,Translated,1,1,0
384,uc002wny.3,Translated,1,0,0
385,uc001xls.2,Translated,2,1,0
386,uc011dtg.2,Translated,1,1,0
387,uc003ezh.3,Translated,1,0,0
388,uc031rcp.1,Translated,1,0,0
389,uc010cuz.3,Translated,1,0,0
390,uc003jkk.4,Translated,2,0,0
391,uc002xvt.1,Translated,1,2,0
392,uc003olj.3,Translated,1,1,0
393,uc003tlx.3,Untranslated,1,0,0
394,uc010ifn.3,Untranslated,1,0,0
395,uc003guu.4,Translated,1,0,0
396,uc003olh.3,Translated,1,1,0
397,uc001oiz.2,Translated,1,2,0
398,uc002jfp.1,Translated,2,1,0
399,uc031rcj.1,Translated,1,0,0
400,uc003ncz.2,Translated,1,0,0
401,uc001oix.2,Translated,1,2,0
402,uc002hdy.4,Translated,1,1,0
403,uc010fec.2,Translated,1,0,0
404,uc001bgs.4,Translated,2,0,1
405,uc001doc.1,Translated,4,1,3
406,uc003qed.4,Translated,2,0,0
407,uc011laf.2,Translated,3,0,0
408,uc003dhy.3,Translated,1,0,0
409,uc002xul.4,Untranslated,1,2,0
410,uc001ony.4,Translated,1,0,0
411,uc002hnn.3,Translated,1,0,0
412,uc010swq.3,Translated,0,1,1
413,uc021zgs.1,Translated,0,1,0
414,uc010gno.1,Untranslated,0,1,0
415,uc031rug.1,Translated,0,1,0
416,uc002apj.3,Translated,0,1,0
417,uc031rty.1,Translated,0,1,0
418,uc003udk.4,Translated,0,1,0
419,uc021ult.1,Translated,0,1,0
420,uc002tng.1,Translated,0,1,0
421,uc002xvd.4,Translated,0,1,0
422,uc001tku.4,Untranslated,0,1,1
423,uc021rmu.1,Translated,0,1,0
424,uc022buv.1,Translated,0,1,0
425,uc001hpw.3,Translated,0,1,0
426,uc003hiy.3,Untranslated,0,1,1
427,uc010qxm.2,Translated,0,1,0
428,uc002api.3,Translated,0,1,0
429,uc010tiu.2,Translated,0,1,0
430,uc003qoc.3,Translated,0,1,0
431,uc003upt.3,Translated,0,1,0
432,uc001gdp.3,Translated,0,1,0
433,uc003jfx.4,Translated,0,2,0
434,uc002lni.2,Translated,0,1,0
435,uc001voa.4,Translated,0,1,0
436,uc001ygc.3,Translated,0,1,0
437,uc001aoh.3,Translated,0,1,0
438,uc003xuo.2,Translated,0,1,0
439,uc001voc.3,Translated,0,1,0
440,uc011een.2,Untranslated,0,1,0
441,uc011lek.2,Translated,0,1,0
442,uc002xve.4,Translated,0,1,0
443,uc031siz.1,Translated,0,2,0
444,uc011dju.2,Translated,0,1,0
445,uc001czv.3,Translated,0,1,0
446,uc003kfi.1,Translated,0,1,0
447,uc001agd.3,Translated,0,1,0
448,uc003vre.3,Translated,0,1,0
449,uc003kfh.1,Translated,0,1,0
450,uc031tgb.1,Untranslated,0,1,0
451,uc003xur.3,Translated,0,1,0
452,uc010swp.3,Translated,0,1,1
453,uc001oiv.3,Translated,0,1,0
454,uc010oqm.3,Translated,0,1,0
455,uc021umk.1,Translated,0,1,0
456,uc003jsr.3,Translated,0,1,0
457,uc009vkg.1,Translated,0,1,0
458,uc001byq.3,Untranslated,0,1,0
459,uc001dny.2,Translated,0,1,0
460,uc011bpk.1,Translated,0,2,0
461,uc010oqj.2,Translated,0,1,0
462,uc001cow.3,Translated,0,1,0
463,uc021pjv.1,Translated,0,1,0
464,uc010lmi.3,Untranslated,0,1,0
465,uc031rue.1,Translated,0,1,0
466,uc001byp.3,Untranslated,0,1,0
467,uc010tiw.2,Untranslated,0,1,0
468,uc010oqi.2,Translated,0,1,0
469,uc010oqk.3,Untranslated,0,1,0
470,uc031qqj.1,Translated,0,1,0
471,uc010tiv.2,Untranslated,0,1,0
472,uc002aph.3,Translated,0,1,0
473,uc003xum.3,Translated,0,1,0
474,uc004ebq.1,Untranslated,0,2,0
475,uc001tsj.3,Translated,0,1,0
476,uc021ofq.1,Translated,0,1,0
477,uc021rlx.1,Untranslated,0,1,0
478,uc002xvc.4,Translated,0,1,0
479,uc003upu.2,Translated,0,1,0
480,uc021rcx.2,Translated,0,1,1
481,uc002lsm.3,Translated,0,2,0
482,uc001czw.3,Translated,0,1,0
483,uc001lxc.3,Translated,0,1,0
484,uc011bpl.1,Translated,0,2,0
485,uc022but.1,Translated,0,1,0
486,uc022buu.1,Translated,0,1,0
487,uc003qob.3,Translated,0,1,0
488,uc001dnw.3,Translated,0,2,0
489,uc022amh.1,Translated,0,1,0
490,uc011mfi.2,Untranslated,0,1,0
491,uc001tsh.3,Translated,0,1,0
492,uc021rdb.2,Translated,0,1,1
493,uc002ywg.1,Untranslated,0,1,0
494,uc031rtz.1,Translated,0,1,0
495,uc001czy.3,Translated,0,1,0
496,uc002vee.4,Translated,0,2,0
497,uc010oql.3,Translated,0,1,0
498,uc010fus.3,Translated,0,1,0
499,uc001cov.3,Translated,0,1,0
500,uc001ddu.3,Translated,0,1,0
501,uc010oqn.3,Untranslated,0,1,0
502,uc031rua.1,Translated,0,1,0
503,uc031tas.1,Untranslated,0,1,0
504,uc003xun.3,Translated,0,1,0
505,uc001ygd.3,Translated,0,1,0
506,uc021rda.2,Translated,0,1,1
507,uc010ngx.2,Untranslated,0,1,0
508,uc003jfh.1,Translated,0,1,0
509,uc001vod.3,Translated,0,1,0
510,uc004ddn.3,Translated,0,1,0
511,uc001tsk.3,Untranslated,0,1,0
512,uc002xvf.3,Translated,0,1,0
513,uc003upv.2,Translated,0,1,0
514,uc011kgj.1,Translated,0,1,1
515,uc031ruc.1,Translated,0,1,0
516,uc001tsi.3,Translated,0,1,0
517,uc010yyz.2,Translated,0,1,0
518,uc021rcz.2,Translated,0,1,1
519,uc001ibl.3,Translated,0,2,0
520,uc021rcy.2,Translated,0,1,1
521,uc001ymi.1,Translated,0,1,0
522,uc004ddo.3,Translated,0,1,0
523,uc001tkv.2,Untranslated,0,1,0
524,uc003vtx.2,Translated,0,1,0
525,uc003vty.4,Translated,0,1,0
526,uc001lxb.3,Untranslated,0,1,0
527,uc003xuj.3,Translated,0,1,0
528,uc021zgt.1,Translated,0,1,0
529,uc002lsn.3,Translated,0,2,0
530,uc002xvb.4,Untranslated,0,1,0
531,uc031ruf.1,Translated,0,1,0
532,uc002ywh.1,Translated,0,1,0
533,uc010oos.2,Translated,0,1,0
534,uc002lnh.2,Translated,0,1,0
535,uc010ujj.1,Translated,0,1,0
536,uc003hiz.1,Translated,0,1,1
537,uc003vtw.3,Translated,0,1,0
538,uc010hwn.2,Translated,0,2,0
539,uc011bpj.1,Translated,0,2,0
540,uc010yzc.2,Untranslated,0,1,0
541,uc002tnc.3,Translated,0,1,0
542,uc003hix.3,Translated,0,1,1
543,uc001dnv.3,Translated,0,2,0
544,uc010fur.3,Translated,0,2,0
545,uc021rmv.1,Translated,0,1,0
546,uc010qxn.2,Translated,0,1,0
547,uc021sbn.1,Translated,0,1,0
548,uc002izo.3,Translated,0,1,0
549,uc001tsm.1,Translated,0,1,0
550,uc010drd.2,Translated,0,1,0
551,uc003vmi.3,Translated,0,1,0
552,uc001hnu.2,Translated,0,1,0
553,uc021ofr.1,Untranslated,0,1,0
554,uc021vnl.1,Translated,0,1,0
555,uc001ibk.3,Translated,0,2,0
556,uc010yza.2,Translated,0,1,0
557,uc001ygf.3,Translated,0,1,0
558,uc031rub.1,Untranslated,0,1,0
559,uc001aoi.3,Translated,0,1,0
560,uc003udl.1,Untranslated,0,1,0
561,uc001vob.4,Translated,0,1,0
562,uc002ywi.3,Translated,0,1,0
563,uc022alw.1,Translated,0,1,0
564,uc010lle.3,Translated,0,1,0
565,uc001dnx.3,Translated,0,2,0
566,uc002xva.4,Translated,0,1,0
567,uc010plb.2,Translated,0,1,0
568,uc031rud.1,Translated,0,1,0
569,uc022atp.1,Translated,0,0,1
570,uc001ztl.3,Translated,0,0,1
571,uc001fed.2,Translated,0,0,1
572,uc003sqd.4,Translated,0,0,1
573,uc003his.3,Translated,0,0,1
574,uc003lsd.3,Translated,0,0,1
575,uc010cto.3,Translated,0,0,1
576,uc001ztn.3,Translated,0,0,1
577,uc021wkp.1,Translated,0,0,1
578,uc002vpu.4,Translated,0,0,1
579,uc021trb.1,Untranslated,0,0,1
580,uc011dcu.2,Translated,0,0,1
581,uc010van.1,Translated,0,0,2
582,uc021uau.1,Untranslated,0,0,1
583,uc031sor.1,Translated,0,0,1
584,uc001feb.1,Translated,0,0,1
585,uc001dii.3,Translated,0,0,1
586,uc010fnk.3,Translated,0,0,1
587,uc009wuu.2,Translated,0,0,1
588,uc001fdy.1,Translated,0,0,1
589,uc002jjj.4,Translated,0,0,1
590,uc003xih.2,Translated,0,0,1
591,uc003lum.3,Translated,0,0,1
592,uc001eil.3,Translated,0,0,1
593,uc002tuz.3,Translated,0,0,1
594,uc002jjh.3,Translated,0,0,1
595,uc003qsg.3,Translated,0,0,1
596,uc003hyn.3,Translated,0,0,1
597,uc001hdb.3,Translated,0,0,1
598,uc011dvs.2,Translated,0,0,1
599,uc010snd.2,Translated,0,0,1
600,uc002gaa.4,Translated,0,0,1
601,uc003hyl.4,Translated,0,0,1
602,uc003sqf.4,Translated,0,0,1
603,uc010zfv.3,Translated,0,0,1
604,uc002cpt.3,Translated,0,0,1
605,uc010snf.1,Translated,0,0,1
606,uc001hav.4,Translated,0,0,1
607,uc009yxz.3,Translated,0,0,1
608,uc003ziu.1,Untranslated,0,0,1
609,uc001jjy.1,Translated,0,0,1
610,uc009yxx.1,Untranslated,0,0,1
611,uc001rph.3,Translated,0,0,1
612,uc001kuq.2,Translated,0,0,1
613,uc011mle.1,Untranslated,0,0,1
614,uc001ufg.3,Translated,0,0,1
615,uc010mhl.1,Translated,0,0,1
