,Transcript,Translation_Status,IonXpress_NONO_c,IonXpress_SFPQt1
174,uc009wbu.1,Untranslated,2,0
175,uc010ljr.2,Translated,1,0
176,uc021szy.1,Untranslated,1,1
177,uc003ldf.3,Translated,1,1
178,uc001gjl.2,Untranslated,1,1
179,uc002pny.4,Translated,1,3
180,uc003fiw.4,Translated,1,0
181,uc002gkj.4,Untranslated,1,0
182,uc003jdx.1,Translated,1,0
183,uc010ftq.1,Untranslated,1,1
184,uc009ywe.3,Untranslated,1,2
185,uc010hyu.1,Untranslated,1,1
186,uc010acm.3,Translated,1,1
187,uc003lds.3,Translated,1,1
188,uc001bys.3,Translated,1,0
189,uc010tif.2,Translated,2,0
190,uc002ryg.3,Translated,1,0
191,uc003xyk.3,Translated,2,2
192,uc021ujv.1,Translated,4,4
193,uc002tzw.3,Translated,1,0
194,uc001bzf.2,Translated,1,0
195,uc021pmg.1,Untranslated,1,1
196,uc001cmi.3,Translated,1,2
197,uc001doa.4,Translated,3,5
198,uc010ohz.2,Translated,1,0
199,uc002nvg.2,Translated,1,0
200,uc001bzd.2,Translated,1,0
201,uc002xuo.3,Untranslated,3,3
202,uc002tzt.1,Translated,1,0
203,uc001pak.2,Translated,1,1
204,uc001vbe.4,Translated,1,1
205,uc010ifn.3,Untranslated,1,0
206,uc003pld.4,Untranslated,1,1
207,uc021ujz.1,Translated,4,4
208,uc021why.1,Untranslated,1,0
209,uc003guq.4,Translated,1,0
210,uc002ylm.4,Untranslated,1,0
211,uc010vwk.2,Untranslated,2,2
212,uc002uaa.3,Translated,1,0
213,uc010oye.3,Translated,1,1
214,uc001dgy.2,Translated,4,2
215,uc003ldt.3,Translated,1,1
216,uc001gjj.3,Untranslated,9,11
217,uc001hyl.1,Translated,2,2
218,uc001dgz.2,Untranslated,1,1
219,uc011auu.2,Translated,1,0
220,uc010osv.1,Translated,3,5
221,uc010vwi.2,Untranslated,2,2
222,uc003gus.4,Translated,1,0
223,uc003kyr.2,Translated,1,0
224,uc002vbg.1,Translated,1,0
225,uc021tqz.1,Translated,2,2
226,uc010men.3,Translated,1,0
227,uc009wwn.1,Untranslated,2,1
228,uc010yzd.1,Untranslated,1,1
229,uc010vwo.1,Untranslated,2,2
230,uc031tgb.1,Untranslated,1,3
231,uc010tfz.2,Translated,1,1
232,uc003qec.4,Translated,3,0
233,uc011ecq.2,Translated,3,0
234,uc010lzb.3,Translated,2,2
235,uc002uzb.3,Translated,2,2
236,uc003axh.3,Translated,1,0
237,uc021tqx.1,Untranslated,2,2
238,uc002ldq.3,Translated,4,4
239,uc002hci.3,Translated,1,2
240,uc031pnx.1,Translated,1,1
241,uc001nvt.3,Untranslated,2,6
242,uc001rtm.3,Translated,2,0
243,uc002uzd.1,Untranslated,1,0
244,uc002rye.3,Translated,1,0
245,uc009voy.1,Translated,1,3
246,uc021udx.1,Translated,1,1
247,uc021udw.1,Translated,1,1
248,uc002cov.1,Untranslated,1,1
249,uc003ldv.1,Untranslated,1,1
250,uc031rlt.1,Translated,1,3
251,uc002ldp.3,Translated,4,4
252,uc010vwp.1,Untranslated,2,2
253,uc003qee.4,Translated,3,0
254,uc010vwn.1,Untranslated,2,2
255,uc003guu.4,Translated,1,0
256,uc003hiz.1,Translated,1,1
257,uc002yhf.3,Translated,1,0
258,uc002tzx.3,Translated,1,0
259,uc001pkl.1,Translated,1,0
260,uc002tnc.3,Translated,1,1
261,uc009ywf.1,Untranslated,1,1
262,uc021trc.1,Untranslated,2,2
263,uc002tzy.1,Translated,1,0
264,uc010drg.3,Translated,2,1
265,uc003ldr.3,Untranslated,1,1
266,uc003hix.3,Translated,1,1
267,uc003umx.1,Untranslated,1,0
268,uc002tzz.1,Translated,1,0
269,uc010qiz.1,Translated,1,1
270,uc001oys.3,Translated,3,1
271,uc003jcy.3,Translated,1,0
272,uc010acl.3,Translated,1,1
273,uc002ldt.2,Untranslated,1,1
274,uc003plb.4,Untranslated,1,1
275,uc010gia.1,Untranslated,1,1
276,uc010hml.1,Untranslated,1,1
277,uc010xdg.2,Translated,4,4
278,uc004dbl.3,Translated,1,0
279,uc001emo.2,Translated,1,1
280,uc003kfh.1,Translated,1,0
281,uc021vnl.1,Translated,1,1
282,uc010qjb.2,Untranslated,1,1
283,uc001doc.1,Translated,3,5
284,uc010yza.2,Translated,1,1
285,uc001uva.3,Translated,1,0
286,uc021viz.1,Untranslated,1,0
287,uc011egl.1,Translated,5,0
288,uc021ynm.1,Untranslated,1,0
289,uc021tra.1,Untranslated,2,2
290,uc002yjk.3,Untranslated,2,2
291,uc001gjk.3,Untranslated,9,11
292,uc021osy.1,Translated,1,1
293,uc003zzs.1,Translated,1,0
294,uc001vbi.4,Translated,1,1
295,uc002eev.4,Translated,2,0
296,uc009yoi.2,Translated,1,4
297,uc002xul.4,Untranslated,3,3
298,uc001reh.2,Translated,16,3
299,uc003qup.1,Untranslated,5,0
300,uc004cor.1,Untranslated,1,0
301,uc002hcm.1,Untranslated,1,0
302,uc010roh.3,Translated,37,7
303,uc021omv.1,Translated,1,1
304,uc002ttj.3,Untranslated,8,6
305,uc010dhc.3,Translated,1,1
306,uc022bqo.2,Untranslated,1,0
307,uc010yzc.2,Untranslated,1,1
308,uc003fqv.3,Translated,1,2
309,uc002jtm.3,Translated,1,1
310,uc001nvu.3,Untranslated,2,6
311,uc002vbh.1,Translated,1,0
312,uc003fqs.3,Translated,1,2
313,uc002ldr.2,Untranslated,1,1
314,uc002ryc.3,Translated,1,0
315,uc002gqb.4,Untranslated,2,2
316,uc003xyl.3,Translated,2,2
