,start_coord,end_coord,dataset,count,length
205,133137202,133138490,IonXpress_SFPQt1,2,1288
206,133138681,133138703,IonXpress_NONO_c,1,22
207,133138681,133138703,IonXpress_SFPQt1,2,22
208,133328703,133340657,IonXpress_NONO_c,2,11954
209,133328703,133340824,IonXpress_NONO_c,1,12121
210,133328703,133442104,IonXpress_NONO_c,1,113401
211,133849943,133853258,IonXpress_NONO_c,15,3315
212,133852364,133852550,IonXpress_NONO_c,3,186
213,134111315,134112732,IonXpress_NONO_c,1,1417
214,134371169,134375575,IonXpress_SFPQt1,2,4406
215,134371261,134375575,IonXpress_SFPQt1,4,4314
216,135926351,135928279,IonXpress_SFPQt1,3,1928
217,135958785,135962939,IonXpress_SFPQt1,1,4154
218,135961274,135962939,IonXpress_SFPQt1,1,1665
219,135961586,135962939,IonXpress_SFPQt1,3,1353
220,136218221,136218280,IonXpress_NONO_c,1,59
221,136218221,136218280,IonXpress_SFPQt1,2,59
222,137909472,137911318,IonXpress_NONO_c,1,1846
223,137909472,137911318,IonXpress_SFPQt1,1,1846
224,137911007,137911318,IonXpress_NONO_c,1,311
225,137911007,137911318,IonXpress_SFPQt1,1,311
226,138644016,138644016,IonXpress_NONO_c,1,0
227,138644016,138644016,IonXpress_SFPQt1,1,0
228,138665084,138667366,IonXpress_NONO_c,3,2282
229,138665084,138667366,IonXpress_SFPQt1,3,2282
230,140177024,140177062,IonXpress_SFPQt1,1,38
231,140184683,140185204,IonXpress_SFPQt1,1,521
232,140389522,140391929,IonXpress_SFPQt1,3,2407
233,141583015,141645646,IonXpress_NONO_c,1,62631
234,141645605,141645646,IonXpress_NONO_c,2,41
235,145282031,145285912,IonXpress_NONO_c,3,3881
236,145282031,145285912,IonXpress_SFPQt1,3,3881
237,145290487,145291654,IonXpress_NONO_c,1,1167
238,145290487,145291654,IonXpress_SFPQt1,1,1167
239,145304651,145304652,IonXpress_NONO_c,1,1
240,145304651,145304652,IonXpress_SFPQt1,1,1
241,145339510,145339512,IonXpress_NONO_c,1,2
242,145339510,145339512,IonXpress_SFPQt1,1,2
243,145368684,145370304,IonXpress_NONO_c,2,1620
244,145368684,145370304,IonXpress_SFPQt1,2,1620
245,146466121,146467744,IonXpress_NONO_c,1,1623
246,146466121,146467744,IonXpress_SFPQt1,3,1623
247,148594640,148596267,IonXpress_SFPQt1,2,1627
248,159514824,159514826,IonXpress_NONO_c,1,2
249,159519600,159519600,IonXpress_NONO_c,2,0
250,159523089,159523172,IonXpress_NONO_c,1,83
251,159537189,159537940,IonXpress_NONO_c,4,751
252,166354243,166401527,IonXpress_NONO_c,5,47284
253,166401386,166401527,IonXpress_NONO_c,10,141
254,176756163,176915048,IonXpress_NONO_c,1,158885
255,176782765,176914266,IonXpress_NONO_c,1,131501
256,176782765,176915048,IonXpress_NONO_c,2,132283
257,186505559,186507685,IonXpress_SFPQt1,1,2126
258,186507058,186507685,IonXpress_NONO_c,4,627
259,186507058,186507685,IonXpress_SFPQt1,8,627
260,203149208,203149435,IonXpress_SFPQt1,1,227
261,203168159,203168384,IonXpress_NONO_c,2,225
262,203168159,203168384,IonXpress_SFPQt1,2,225
263,207027607,207027653,IonXpress_NONO_c,3,46
264,228565766,228582745,IonXpress_SFPQt1,1,16979
265,228567034,228582745,IonXpress_SFPQt1,1,15711
266,230415204,230417875,IonXpress_NONO_c,2,2671
267,232329064,232329205,IonXpress_NONO_c,1,141
268,232329064,232329205,IonXpress_SFPQt1,1,141
269,235292030,235292256,IonXpress_SFPQt1,1,226
270,237995947,237997288,IonXpress_NONO_c,2,1341
271,237995947,237997288,IonXpress_SFPQt1,2,1341
