,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv
210,uc021qdx.1,Translated,2,1
211,uc011cmv.2,Translated,2,0
212,uc001cse.1,Translated,1,0
213,uc010odx.2,Translated,2,0
214,uc010xrw.2,Translated,3,7
215,uc002dja.3,Untranslated,2,1
216,uc002bul.3,Translated,1,2
217,uc001onv.3,Translated,1,0
218,uc003ezj.3,Translated,1,0
219,uc031tci.1,Untranslated,1,2
220,uc003xek.3,Translated,3,0
221,uc003dhx.3,Untranslated,1,0
222,uc003jgh.5,Translated,3,0
223,uc003xre.4,Translated,1,0
224,uc003wyy.3,Translated,1,0
225,uc001qzj.4,Translated,2,1
226,uc003jat.1,Translated,1,0
227,uc010pvy.1,Translated,2,0
228,uc001hfq.4,Translated,2,2
229,uc003jfg.3,Untranslated,2,2
230,uc021xqp.2,Translated,1,0
231,uc001qzb.4,Untranslated,2,1
232,uc002fcl.3,Translated,1,0
233,uc010mnd.3,Translated,1,2
234,uc003jet.2,Translated,2,0
235,uc003xeu.3,Translated,3,0
236,uc003sle.1,Translated,1,0
237,uc022bqt.1,Untranslated,1,4
238,uc009vql.3,Translated,2,0
239,uc003jhg.2,Translated,1,0
240,uc001hgp.3,Translated,1,0
241,uc010ksj.3,Translated,1,0
242,uc003zzq.3,Translated,3,4
243,uc001iyx.4,Translated,1,0
244,uc004cos.5,Untranslated,1,8
245,uc002iko.4,Translated,1,0
246,uc022asi.1,Untranslated,1,0
247,uc010ksh.1,Translated,1,0
248,uc010ugn.1,Translated,1,0
249,uc001qzf.2,Translated,2,1
250,uc003hzh.2,Translated,1,0
251,uc004chz.3,Translated,1,0
252,uc003iqj.3,Translated,1,0
253,uc003vcv.4,Translated,1,0
254,uc001kmo.3,Translated,1,0
255,uc002fmy.2,Translated,4,1
256,uc003hzd.4,Untranslated,1,0
257,uc003pdm.2,Translated,1,1
258,uc003slg.1,Translated,1,0
259,uc003ysa.2,Untranslated,5,11
260,uc004csr.3,Translated,1,0
261,uc003nim.2,Untranslated,1,0
262,uc003jhi.2,Translated,1,0
263,uc001iyv.4,Translated,1,0
264,uc011bbf.1,Translated,1,0
265,uc002aea.3,Translated,1,0
266,uc010bxf.3,Untranslated,1,1
267,uc001kmq.3,Translated,1,0
